2021-04-29 08:07:40,958 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 3 |k_down_up = 19 |start=1.00000000 |end=|0.98478361|percent = -1.522%
2021-04-29 08:07:48,879 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 4 |k_down_up = 19 |start=1.00000000 |end=|1.01781068|percent = 1.781%
2021-04-29 08:07:56,776 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 5 |k_down_up = 19 |start=1.00000000 |end=|1.01793019|percent = 1.793%
2021-04-29 08:08:04,672 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 6 |k_down_up = 19 |start=1.00000000 |end=|1.01760625|percent = 1.761%
2021-04-29 08:08:12,557 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 7 |k_down_up = 19 |start=1.00000000 |end=|1.01798797|percent = 1.799%
2021-04-29 08:08:20,421 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 8 |k_down_up = 19 |start=1.00000000 |end=|1.01921298|percent = 1.921%
2021-04-29 08:08:28,285 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 9 |k_down_up = 19 |start=1.00000000 |end=|1.01929514|percent = 1.930%
2021-04-29 08:08:36,122 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 10 |k_down_up = 19 |start=1.00000000 |end=|1.01935354|percent = 1.935%
2021-04-29 08:08:43,937 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 11 |k_down_up = 19 |start=1.00000000 |end=|1.01925583|percent = 1.926%
2021-04-29 08:08:51,767 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 12 |k_down_up = 19 |start=1.00000000 |end=|1.01957049|percent = 1.957%
2021-04-29 08:08:59,589 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 13 |k_down_up = 19 |start=1.00000000 |end=|1.01961453|percent = 1.961%
2021-04-29 08:09:07,429 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 14 |k_down_up = 19 |start=1.00000000 |end=|1.01963181|percent = 1.963%
2021-04-29 08:09:15,267 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 15 |k_down_up = 19 |start=1.00000000 |end=|1.01927565|percent = 1.928%
2021-04-29 08:09:23,056 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 16 |k_down_up = 19 |start=1.00000000 |end=|1.01923367|percent = 1.923%
2021-04-29 08:09:30,842 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 17 |k_down_up = 19 |start=1.00000000 |end=|1.01951945|percent = 1.952%
2021-04-29 08:09:38,634 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 18 |k_down_up = 19 |start=1.00000000 |end=|1.01946245|percent = 1.946%
2021-04-29 08:09:46,427 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 19 |k_down_up = 19 |start=1.00000000 |end=|1.01930081|percent = 1.930%
2021-04-29 08:09:54,206 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 20 |k_down_up = 19 |start=1.00000000 |end=|1.01912151|percent = 1.912%
2021-04-29 08:10:01,999 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 21 |k_down_up = 19 |start=1.00000000 |end=|1.01948894|percent = 1.949%
2021-04-29 08:10:09,777 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 22 |k_down_up = 19 |start=1.00000000 |end=|1.02008356|percent = 2.008%
